condition,pct,seed,dataset,layer,n_ablated_per_layer,freq_auroc,freq_auroc_std,freq_accuracy
random,10.0,1,medical,5,204,0.8942148760330578,0.04744694246085063,0.7818181818181819
random,10.0,2,medical,0,204,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,10.0,2,medical,1,204,0.9867768595041323,0.009917355371900844,0.9
random,10.0,2,medical,2,204,0.9570247933884298,0.021803150344252717,0.9
random,10.0,2,medical,3,204,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,10.0,2,medical,4,204,0.909090909090909,0.03002628450344622,0.8090909090909092
random,10.0,2,medical,5,204,0.9057851239669421,0.048076163875203255,0.8363636363636363
random,25.0,0,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,25.0,0,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
random,25.0,0,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
random,25.0,0,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,25.0,0,medical,4,512,0.9305785123966942,0.03790857831794948,0.8636363636363636
random,25.0,0,medical,5,512,0.8545454545454545,0.05740084414606727,0.7818181818181819
random,25.0,1,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,25.0,1,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
random,25.0,1,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
random,25.0,1,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,25.0,1,medical,4,512,0.9140495867768594,0.04779118113983787,0.8454545454545455
random,25.0,1,medical,5,512,0.8809917355371899,0.06540945103275829,0.7272727272727273
random,25.0,2,medical,0,512,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,25.0,2,medical,1,512,0.9867768595041323,0.009917355371900844,0.9
random,25.0,2,medical,2,512,0.9570247933884298,0.021803150344252717,0.9
random,25.0,2,medical,3,512,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,25.0,2,medical,4,512,0.9256198347107437,0.027159796239925576,0.8454545454545455
random,25.0,2,medical,5,512,0.8975206611570249,0.03718089877422143,0.8090909090909092
random,50.0,0,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,50.0,0,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
random,50.0,0,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
random,50.0,0,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,50.0,0,medical,4,1024,0.9421487603305785,0.03467136688165792,0.8636363636363636
random,50.0,0,medical,5,1024,0.8561983471074381,0.0544702712505259,0.8
random,50.0,1,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,50.0,1,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
random,50.0,1,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
random,50.0,1,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,50.0,1,medical,4,1024,0.9239669421487603,0.04161877127938566,0.8636363636363636
random,50.0,1,medical,5,1024,0.9074380165289255,0.04773398042378064,0.8363636363636363
random,50.0,2,medical,0,1024,0.9867768595041323,0.011210462782025284,0.9181818181818182
random,50.0,2,medical,1,1024,0.9867768595041323,0.009917355371900844,0.9
random,50.0,2,medical,2,1024,0.9570247933884298,0.021803150344252717,0.9
random,50.0,2,medical,3,1024,0.9586776859504132,0.030477832916670684,0.9090909090909092
random,50.0,2,medical,4,1024,0.9090909090909092,0.02613452611709406,0.8545454545454545
random,50.0,2,medical,5,1024,0.9074380165289255,0.05211200915846096,0.7818181818181819
clean,0.0,0,legal,0,0,0.7810650887573963,0.048361696430065174,0.7461538461538461
clean,0.0,0,legal,1,0,0.821301775147929,0.01994354975899735,0.7461538461538462
clean,0.0,0,legal,2,0,0.8248520710059172,0.04041034574902689,0.8
clean,0.0,0,legal,3,0,0.8142011834319526,0.039178568892891986,0.7153846153846153
clean,0.0,0,legal,4,0,0.7810650887573963,0.03175481151478989,0.7153846153846155
clean,0.0,0,legal,5,0,0.647337278106509,0.05430908357672794,0.6153846153846154
circuit,5.0,0,legal,0,102,0.7810650887573963,0.048361696430065174,0.7461538461538461
circuit,5.0,0,legal,1,102,0.821301775147929,0.01994354975899735,0.7461538461538462
circuit,5.0,0,legal,2,102,0.8248520710059172,0.04041034574902689,0.8
circuit,5.0,0,legal,3,102,0.8142011834319526,0.039178568892891986,0.7153846153846153
circuit,5.0,0,legal,4,102,0.7810650887573964,0.027244649546086033,0.7
circuit,5.0,0,legal,5,102,0.6733727810650888,0.03417640018507372,0.6384615384615384
circuit,10.0,0,legal,0,204,0.7810650887573963,0.048361696430065174,0.7461538461538461
circuit,10.0,0,legal,1,204,0.821301775147929,0.01994354975899735,0.7461538461538462
circuit,10.0,0,legal,2,204,0.8248520710059172,0.04041034574902689,0.8
